datetime,basin_id,Year,Month,Day,qcfs,flag
1980-09-04,RC13172117,1980,9,4,0.0,si
1980-09-05,RC13172117,1980,9,5,0.0,si
1980-09-06,RC13172117,1980,9,6,0.0,si
1980-09-07,RC13172117,1980,9,7,0.0,si
1980-09-08,RC13172117,1980,9,8,0.0,si
1980-09-09,RC13172117,1980,9,9,0.0,si
1980-09-10,RC13172117,1980,9,10,0.0,si
1980-09-11,RC13172117,1980,9,11,0.0,si
1980-09-12,RC13172117,1980,9,12,0.0,si
1980-09-13,RC13172117,1980,9,13,0.0,si
1980-09-14,RC13172117,1980,9,14,0.0,si
1980-09-15,RC13172117,1980,9,15,0.0,si
1980-09-16,RC13172117,1980,9,16,0.0,si
1980-09-17,RC13172117,1980,9,17,0.0,si
1980-09-18,RC13172117,1980,9,18,0.0,si
1980-09-19,RC13172117,1980,9,19,0.0,si
1980-09-20,RC13172117,1980,9,20,0.0,si
1980-09-21,RC13172117,1980,9,21,0.0,si
1980-09-22,RC13172117,1980,9,22,0.0,si
1980-09-23,RC13172117,1980,9,23,0.0,si
1980-09-24,RC13172117,1980,9,24,0.0,si
1980-09-25,RC13172117,1980,9,25,0.0,si
1980-09-26,RC13172117,1980,9,26,0.0,si
1980-09-27,RC13172117,1980,9,27,0.0,si
1980-09-28,RC13172117,1980,9,28,0.0,si
1980-09-29,RC13172117,1980,9,29,0.0,si
1980-09-30,RC13172117,1980,9,30,0.0,si
1980-10-01,RC13172117,1980,10,1,0.0,si
1980-10-02,RC13172117,1980,10,2,0.0,si
1980-10-03,RC13172117,1980,10,3,0.0,si
1980-10-04,RC13172117,1980,10,4,0.0,si
1980-10-05,RC13172117,1980,10,5,0.0,si
1980-10-06,RC13172117,1980,10,6,0.0,si
1980-10-07,RC13172117,1980,10,7,0.0,si
1980-10-08,RC13172117,1980,10,8,0.0,si
1980-10-09,RC13172117,1980,10,9,0.0,si
1980-10-10,RC13172117,1980,10,10,0.0,si
1980-10-11,RC13172117,1980,10,11,0.0,si
1980-10-12,RC13172117,1980,10,12,0.0,si
1980-10-13,RC13172117,1980,10,13,0.0,si
1980-10-14,RC13172117,1980,10,14,0.0,si
1980-10-15,RC13172117,1980,10,15,0.0,si
1980-10-16,RC13172117,1980,10,16,0.0,si
1980-10-17,RC13172117,1980,10,17,0.0,si
1980-10-18,RC13172117,1980,10,18,0.0,si
1980-10-19,RC13172117,1980,10,19,0.0,si
1980-10-20,RC13172117,1980,10,20,0.0,si
1980-10-21,RC13172117,1980,10,21,0.0,si
1980-10-22,RC13172117,1980,10,22,0.0,si
1980-10-23,RC13172117,1980,10,23,0.0,si
1980-10-24,RC13172117,1980,10,24,0.0,si
1980-10-25,RC13172117,1980,10,25,0.0,si
1980-10-26,RC13172117,1980,10,26,0.0,si
1980-10-27,RC13172117,1980,10,27,0.0,si
1980-10-28,RC13172117,1980,10,28,0.0,si
1980-10-29,RC13172117,1980,10,29,0.0,si
1980-10-30,RC13172117,1980,10,30,0.0,si
1980-10-31,RC13172117,1980,10,31,0.0,si
1980-11-01,RC13172117,1980,11,1,0.0,si
1980-11-02,RC13172117,1980,11,2,0.0,si
1980-11-03,RC13172117,1980,11,3,0.0,si
1980-11-04,RC13172117,1980,11,4,0.0,si
1980-11-05,RC13172117,1980,11,5,0.0,si
1980-11-06,RC13172117,1980,11,6,0.0,si
1980-11-07,RC13172117,1980,11,7,0.0,si
1980-11-08,RC13172117,1980,11,8,0.0,si
1980-11-09,RC13172117,1980,11,9,0.0,si
1980-11-10,RC13172117,1980,11,10,0.0,si
1980-11-11,RC13172117,1980,11,11,0.0,si
1980-11-12,RC13172117,1980,11,12,0.0,si
1980-11-13,RC13172117,1980,11,13,0.0,si
1980-11-14,RC13172117,1980,11,14,0.0,si
1980-11-15,RC13172117,1980,11,15,0.0,si
1980-11-16,RC13172117,1980,11,16,0.0,si
1980-11-17,RC13172117,1980,11,17,0.0,si
1980-11-18,RC13172117,1980,11,18,0.0,si
1980-11-19,RC13172117,1980,11,19,0.0,si
1980-11-20,RC13172117,1980,11,20,0.0,si
1980-11-21,RC13172117,1980,11,21,0.0,si
1980-11-22,RC13172117,1980,11,22,0.0,si
1980-11-23,RC13172117,1980,11,23,0.0,si
1980-11-24,RC13172117,1980,11,24,0.0,si
